영화코드,영화명,개봉일,제작국가,장르,감독,배우,상영시간,누적 관객수
101,아쿠아맨 (AQUAMAN),2018-12-19,미국,액션,제임스 완,"제이슨 모모아,앰버 허드,니콜 키드먼,패트릭 윌슨,윌렘 데포,돌프 룬드그렌",143분 8초,"5,041,187"
102,브레이킹 던 part2 (The Twilight Saga: Breaking Dawn Part 2),2012-11-15,미국,드라마,빌 콘돈,"크리스틴 스튜어트,로버트 패틴슨,테일러 로트너,다코타 패닝",115분 0초,"2,654,817"
103,오케이 마담 (OK! MADAM),2020-08-12,한국,코미디,이철하,"엄정화,박성웅,이상윤,배정남,이선빈",100분 28초,"1,229,018"
104,미션 임파서블: 폴아웃 (Mission:Impossible- Fallout),2018-07-25,미국,액션,크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈",147분 12초,"6,584,915"
105,밀정 (The Age of Shadows),2016-09-07,한국,액션,김지운,"송강호,공유",139분 55초,"7,500,457"
106,타짜: 원 아이드 잭 (Tazza: One Eyed Jack),2019-09-11,한국,범죄,권오광,"박정민,류승범,최유화",139분 47초,"2,229,281"
107,인사이드 아웃 (Inside Out),2015-07-09,미국,애니메이션,피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더",101분 41초,"4,969,735"
108,군함도 (The Battleship Island),2017-07-26,한국,액션,류승완,"황정민,소지섭,송중기,이정현,김수안",132분 11초,"6,592,151"
109,정직한 후보 (HONEST CANDIDATE),2020-02-12,한국,코미디,장유정,"이서율,라미란,김무열,나문희,윤경호,장동주",104분 30초,"1,538,038"
110,검은 사제들 (The Priests),2015-11-05,한국,미스터리,장재현,"김윤석,강동원",108분 16초,"5,443,232"
111,탐정 : 더 비기닝 (THE ACCIDENTAL DETECTIVE),2015-09-24,한국,코미디,김정훈,"권상우,성동일",119분 58초,"2,625,686"
112,탐정: 리턴즈 (The Accidental Detective 2: In Action),2018-06-13,한국,코미디,이언희,"권상우,성동일,김수영,김승필",116분 18초,"3,152,895"
113,설국열차 (Snowpiercer),2013-08-01,한국,SF,봉준호,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필",125분 46초,"9,353,799"
114,군도: 민란의 시대 (KUNDO : Age of the Rampant),2014-07-23,한국,사극,윤종빈,"하정우,강동원,조진웅,마동석,정만식,김성균,주진모,이경영",137분 28초,"4,775,811"
115,슈퍼배드 2 (Despicable Me 2),2013-09-12,미국,애니메이션,"크리스 리노드,피에르 꼬팽","알 파치노,스티브 카렐,미란다 코스그로브,태연,서현",98분 16초,"963,763"
116,은밀하게 위대하게 (Secretly Greatly),2013-06-05,한국,액션,장철수,"김수현,박기웅,이현우,손현주,신정근",123분 47초,"6,959,083"
117,완득이 (Punch),2011-10-20,한국,드라마,이한,"김윤석,유아인",107분 0초,"5,311,353"
118,히트맨 (HITMAN: AGENT JUN),2020-01-22,한국,코미디,최원섭,"권상우,정준호,황우슬혜,이이경,이지원",109분 47초,"2,406,232"
119,공작 (The Spy Gone North),2018-08-08,한국,드라마,윤종빈,"황정민,이성민,조진웅,주지훈",137분 6초,"4,975,517"
120,인턴 (The Intern),2015-09-24,미국,코미디,낸시 마이어스,"앤 해서웨이,로버트 드 니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스",121분 22초,"3,611,166"
121,어바웃 타임 (ABOUT TIME),2013-12-05,영국,멜로/로맨스,리차드 커티스,"레이첼 맥아담스,도널 글리슨,빌 나이",123분 24초,"3,445,650"
122,월드 워 Z (World War Z ),2013-06-20,미국,드라마,마크 포스터,"브래드 피트,미레유 에노스,매튜 폭스",115분 21초,"5,244,336"
123,나우 유 씨 미 : 마술사기단 (Now You See Me ),2013-08-22,미국,범죄,루이스 리테리어,"제시 아이젠버그,마크 러팔로,우디 해럴슨,멜라니 로랑,아일라 피셔,데이브 프랑코,마이클 케인,모건 프리먼",115분 12초,"2,718,237"
